City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Morgantown,US,39.6295,-79.9559,80.98,73,1,5.75,clear sky
178,Marawi,PH,7.9986,124.2928,66.65,91,100,2.68,light rain
179,Winnemucca,US,40.973,-117.7357,48.25,34,1,3.44,clear sky
180,Chardara,KZ,41.2547,67.9692,78.6,20,0,6.96,clear sky
181,Quelimane,MZ,-17.8786,36.8883,78.75,76,11,12.01,few clouds
182,Grand Gaube,MU,-20.0064,57.6608,73.38,83,10,3.0,light rain
183,East London,ZA,-33.0153,27.9116,61.57,59,28,14.97,scattered clouds
184,Port Moresby,PG,-9.4431,147.1797,73.53,80,81,14.05,broken clouds
185,Bengkulu,ID,-3.8004,102.2655,77.81,87,97,5.59,overcast clouds
186,Solnechnyy,RU,50.7214,136.6319,56.66,70,93,8.46,overcast clouds
187,Buzmeyin,TM,38.0507,58.2056,85.73,42,20,9.22,few clouds
188,Popondetta,PG,-8.7537,148.2534,71.91,94,93,1.72,overcast clouds
189,Raudeberg,NO,61.9875,5.1352,65.98,83,55,19.19,broken clouds
190,Sandnessjoen,NO,66.0217,12.6316,57.31,62,0,4.61,clear sky
191,San Roque,ES,36.2107,-5.3842,76.03,69,20,8.05,few clouds
192,Carnarvon,AU,-24.8667,113.6333,62.67,72,0,14.97,clear sky
193,Fountain Hills,US,33.6117,-111.7174,86.95,40,1,3.0,clear sky
194,Konosha,RU,60.9736,40.257,41.58,85,100,5.01,overcast clouds
195,Laguna,US,38.421,-121.4238,65.08,88,1,1.01,mist
196,Araouane,ML,18.9048,-3.5265,103.6,19,39,4.27,scattered clouds
197,Nishihara,JP,26.1842,127.7558,81.68,78,20,4.61,few clouds
198,Pagudpud,PH,18.5616,120.7868,81.46,86,48,10.76,scattered clouds
199,Guangyuan,CN,32.442,105.823,67.12,88,100,3.67,light rain
200,Mormugao,IN,15.4,73.8,79.86,83,75,4.61,broken clouds
201,Ngunguru,NZ,-35.6167,174.5,51.17,84,87,3.24,overcast clouds
202,Zeya,RU,53.75,127.2667,39.18,97,99,4.09,overcast clouds
203,Cabo San Lucas,MX,22.8909,-109.9124,81.7,84,1,3.0,clear sky
204,Talnakh,RU,69.4865,88.3972,39.99,70,10,5.19,clear sky
205,Pointe Michel,DM,15.25,-61.3833,82.8,73,26,11.95,scattered clouds
206,Bambanglipuro,ID,-7.95,110.2833,77.79,84,80,11.97,broken clouds
207,Adrar,MR,20.5022,-10.0711,96.93,28,100,12.1,overcast clouds
208,Samarai,PG,-10.6167,150.6667,77.09,79,100,18.79,overcast clouds
209,Katherine,AU,-14.4667,132.2667,82.72,32,100,9.22,overcast clouds
210,Lagoa,PT,39.05,-27.9833,68.2,71,92,9.44,overcast clouds
211,Chuy,UY,-33.6971,-53.4616,63.61,61,2,10.47,clear sky
212,Arlit,NE,18.7369,7.3853,103.8,6,0,3.83,clear sky
213,Camana,PE,-16.6228,-72.7111,64.63,71,65,9.95,broken clouds
214,Emerald,AU,-23.5333,148.1667,62.19,85,0,11.95,clear sky
215,Victoria,HK,22.2855,114.1577,86.32,84,2,1.01,light rain
216,Georgetown,MY,5.4112,100.3354,79.9,82,20,0.0,few clouds
217,Proletariy,RU,58.4342,31.7046,48.29,62,57,8.3,broken clouds
218,Acapulco,MX,16.8634,-99.8901,82.22,83,90,2.3,overcast clouds
